Subject,Trial,QA TRs,Mean,SD,Min,1Q,2Q,3Q,Max,Outliers,Outliers %
DYN_015,hilo,424.0,0.07506786108490567,0.07667833380600003,0.010973700000000001,0.0411233,0.056216499999999996,0.074783275,0.734504,40.0,9.433962264150944,
DYN_015,rest,494.0,0.074575291902834,0.04813232534083724,0.012561,0.05153455,0.0663145,0.084621925,0.597901,24.0,4.8582995951417,
DYN_015,task1,550.0,0.0817279448,0.08235808708855484,0.00388204,0.043449875,0.06004365,0.08481435000000001,0.791366,55.0,10.0,
DYN_015,task2,550.0,0.07922198841818182,0.081794229567032,0.00794912,0.043382424999999995,0.059416500000000004,0.082158975,0.9326709999999999,51.0,9.272727272727273,
DYN_015,training,424.0,0.0763981054245283,0.25505803342357725,0.010206100000000001,0.042822349999999995,0.05632865000000001,0.07126545000000001,5.18794,27.0,6.367924528301887,
DYN_016,hilo,424.0,0.06860657655660378,0.026194078841643178,0.00900056,0.05159242500000001,0.06566425000000001,0.086009525,0.168223,5.0,1.179245283018868,
DYN_016,rest,494.0,0.08659386943319838,0.04776130485952705,0.0141972,0.05512115,0.07738395,0.10491025,0.347433,22.0,4.4534412955465585,
DYN_016,task1,550.0,0.07548417874545454,0.0673500216758364,0.00901321,0.04231615,0.059631100000000006,0.0821292,0.659939,43.0,7.818181818181818,
DYN_016,task2,550.0,0.05465388981818182,0.04200625674162376,0.0127228,0.037013175,0.0487476,0.064564,0.620391,11.0,2.0,
DYN_016,training,424.0,0.06066480754716982,0.029981916821928033,0.013236500000000002,0.042257750000000004,0.057883050000000005,0.07257125,0.285841,17.0,4.009433962264151,
DYN_017,hilo,424.0,0.06480845308962264,0.034009813263151015,0.00500374,0.041497225,0.06008865,0.081581075,0.317339,12.0,2.830188679245283,
DYN_017,rest,494.0,0.06688163560728744,0.04448685943027617,0.00573594,0.039329575,0.058526350000000005,0.08135115,0.314757,22.0,4.4534412955465585,
DYN_017,task1,550.0,0.060854349581818186,0.027952142834791475,0.00383045,0.0398214,0.058215300000000005,0.0782148,0.211339,6.0,1.0909090909090908,
DYN_017,task2,550.0,0.057542115272727276,0.03461649012040165,0.00885631,0.03524555,0.05156505,0.072271675,0.335622,15.0,2.727272727272727,
DYN_017,training,424.0,0.06166296174528302,0.03241047040654489,0.00950098,0.039058075,0.057904449999999996,0.078275,0.259927,10.0,2.358490566037736,
DYN_018,hilo,424.0,0.09579000849056606,0.06438709025293719,0.0108041,0.06311635,0.08607325,0.12109025000000001,0.981972,8.0,1.8867924528301887,
DYN_018,rest,494.0,0.10997904089068826,0.07069836086522918,0.0167768,0.07060217499999999,0.1029485,0.13302075,0.795416,15.0,3.0364372469635628,
DYN_018,task1,550.0,0.109426032,0.08476925949931871,0.0141399,0.07006865,0.0963754,0.12334875,0.8811700000000001,27.0,4.909090909090909,
DYN_018,task2,550.0,0.10588831018181817,0.08773920569619056,0.0178726,0.065423225,0.08932415,0.11868000000000001,1.2483,34.0,6.181818181818182,
DYN_018,training,424.0,0.09811903325471699,0.051277217257403716,0.013726499999999999,0.06556709999999999,0.09034325,0.11864324999999999,0.482912,15.0,3.5377358490566038,
DYN_019,hilo,424.0,0.04951875917452831,0.022478476289987087,0.00679425,0.033665850000000004,0.046319849999999996,0.060641925,0.149528,13.0,3.0660377358490565,
DYN_019,rest,494.0,0.04979418684210526,0.024430577136680284,0.00719436,0.032525700000000005,0.0460019,0.06149230000000001,0.192357,15.0,3.0364372469635628,
DYN_019,task1,550.0,0.04698417918545455,0.022833643298635617,0.0006533019999999999,0.0314337,0.0436391,0.05890215,0.17086199999999999,15.0,2.727272727272727,
DYN_019,task2,550.0,0.0536603202,0.02880084812743678,0.00818145,0.034526699999999994,0.04605864999999999,0.06461885,0.193114,35.0,6.363636363636363,
DYN_019,training,424.0,0.042656627783018874,0.01960270879680074,0.00648534,0.030264400000000004,0.0402935,0.0521253,0.168356,10.0,2.358490566037736,
