Subject,Trial,QA TRs,Mean,SD,Min,1Q,2Q,3Q,Max,Outliers,Outliers %
DYN_024,hilo,424.0,42.5126516509434,4.918447412059847,34.5403,38.683699999999995,41.5724,45.452774999999995,62.0666,3.0,0.7075471698113207,
DYN_024,rest,494.0,52.54500182186234,7.1717545922781545,41.2549,46.466575,51.7876,56.883,85.93299999999999,3.0,0.6072874493927125,
DYN_024,task1,550.0,54.70543963636364,5.372792222963784,44.8758,50.357025,53.76155,58.401825,77.742,4.0,0.7272727272727273,
DYN_024,task2,550.0,49.426939454545455,6.590896485245672,34.4793,45.2383,49.47535,53.61315,72.4926,7.0,1.2727272727272727,
DYN_024,training,424.0,51.35002806603774,4.468797579978086,42.4599,48.04452500000001,50.453,53.980525,71.0713,7.0,1.650943396226415,
DYN_025,hilo,424.0,36.23462028301886,3.5473205004044943,27.6193,34.06315,35.59565,37.516075,58.4847,20.0,4.716981132075472,
DYN_025,rest,494.0,35.546807692307695,2.9761976525697693,30.0978,33.840775,35.175,36.6417,53.7576,24.0,4.8582995951417,
DYN_025,task1,550.0,36.284110181818185,3.2816824732328733,30.4981,34.117250000000006,35.518550000000005,37.504774999999995,58.9964,24.0,4.363636363636363,
DYN_025,task2,550.0,35.952246,2.980878860937059,31.1286,34.200224999999996,35.4191,37.103125,68.6101,17.0,3.090909090909091,
DYN_025,training,424.0,36.09963018867925,3.6191750960830515,30.8776,33.726150000000004,35.140100000000004,37.2123,54.1444,32.0,7.547169811320755,
DYN_026,hilo,424.0,42.46727240566038,9.552997339031561,30.7601,37.9879,40.6249,44.653549999999996,133.265,26.0,6.132075471698113,
DYN_026,rest,494.0,51.762302834008096,5.783369681587609,40.0211,48.078075000000005,52.044399999999996,54.918749999999996,77.0669,6.0,1.214574898785425,
DYN_026,task1,550.0,48.75059272727273,10.777570899263607,30.6959,43.784375,46.7715,50.615024999999996,150.748,41.0,7.454545454545454,
DYN_026,task2,550.0,41.87766509090909,6.394758374261751,29.7963,38.37735,40.152100000000004,43.341975000000005,75.969,41.0,7.454545454545454,
DYN_026,training,424.0,39.771776179245286,9.03798343521906,28.6293,34.878949999999996,37.7003,41.564525,106.175,30.0,7.0754716981132075,
DYN_027,hilo,424.0,36.46080754716981,4.220849938820639,30.7161,33.742425000000004,35.298,37.83215,62.4235,32.0,7.547169811320755,
DYN_027,rest,494.0,37.46824170040485,4.556472498992949,30.9781,34.319225,36.005750000000006,39.082625,53.9767,36.0,7.287449392712551,
DYN_027,task1,550.0,38.83295672727272,3.52115475913226,33.0974,36.226725,37.85895,40.980175,52.8109,10.0,1.8181818181818181,
DYN_027,task2,550.0,37.8581909090909,4.134899907131213,30.9822,35.506825,37.19885,39.5189,84.1699,8.0,1.4545454545454546,
DYN_027,training,424.0,37.762769103773586,4.156922082982079,31.9203,34.8673,36.64685,39.921724999999995,55.2765,16.0,3.7735849056603774,
DYN_028,hilo,424.0,40.922661084905656,2.517793874878962,35.1068,39.17255,40.40385,42.40305,49.6413,8.0,1.8867924528301887,
DYN_028,rest,494.0,34.84991801619433,2.114850116848374,29.41,33.540225,34.786950000000004,36.1998,41.3624,3.0,0.6072874493927125,
DYN_028,task1,550.0,38.480273454545454,2.412500659543852,32.839,36.827075,38.54835,40.174925,46.4203,2.0,0.36363636363636365,
DYN_028,task2,550.0,38.29919963636364,2.26930840650296,32.7623,36.681525,38.258449999999996,39.645325,46.6815,6.0,1.0909090909090908,
DYN_028,training,424.0,41.39189551886792,2.407621232424544,34.8982,39.801224999999995,41.036100000000005,42.898575,49.6999,4.0,0.9433962264150944,
DYN_029,hilo,424.0,36.42980330188679,3.7442919812987854,28.9828,33.773875,35.889300000000006,38.484325,51.0924,9.0,2.1226415094339623,
DYN_029,rest,494.0,36.063033603238864,4.309755545620478,29.2449,33.364925,35.11135,37.434475,57.8513,36.0,7.287449392712551,
DYN_029,task1,550.0,38.846087818181815,7.082346465794039,24.5313,34.750024999999994,37.84725,41.672399999999996,113.70200000000001,14.0,2.5454545454545454,
DYN_029,task2,550.0,34.829998,6.477354393491596,24.3303,31.268549999999998,33.4383,36.152274999999996,80.5856,36.0,6.545454545454546,
DYN_029,training,424.0,38.58669316037736,4.850233125680861,30.096,35.242200000000004,37.975049999999996,40.76395,71.3632,11.0,2.5943396226415096,
DYN_030,hilo,424.0,39.695585849056606,2.3824191448875944,34.7078,38.056349999999995,39.3393,41.111475,49.3953,10.0,2.358490566037736,
DYN_030,rest,494.0,42.96578380566802,7.052501197866155,32.515,37.45779999999999,41.19755,47.182575,66.5273,4.0,0.8097165991902834,
DYN_030,task1,550.0,39.128516545454545,2.33165517942441,33.4209,37.563,39.108599999999996,40.627175,47.5567,6.0,1.0909090909090908,
DYN_030,task2,550.0,39.969333636363636,2.6634090480041546,33.589,38.1756,39.85735,41.602625,53.3526,7.0,1.2727272727272727,
DYN_030,training,424.0,35.92564433962264,3.074403103253014,29.0245,33.532125,35.89045,37.822700000000005,45.3261,1.0,0.2358490566037736,
